0;0
0.198692;0.198692
0.397384;0.318427
0.596075;0.312656
0.794767;0.185582
0.993459;-0.0124254
1.19215;-0.204593
1.39084;-0.315491
1.58953;-0.302112
1.78823;-0.171555
1.98692;0.0245838
2.18561;0.210176
2.3843;0.312312
2.58299;0.291497
2.78168;0.157652
2.98038;-0.036461
3.17907;-0.215417
3.37776;-0.308868
3.57645;-0.280796
3.77514;-0.143873
3.97384;0.0480424
4.17253;0.220297
4.37122;0.305141
4.56991;0.270002
4.7686;0.130222
4.96729;-0.0593136
5.16599;-0.224795
5.36468;-0.301115
5.56337;-0.259106
5.76206;-0.116704
5.96075;0.0702601
